id,post,num_likes,num_comments
695707917166339_1020729634664164,"Graduation is looming. Can I say that I don't wanna adult just yet. GRADUATION ANXIETY IS REAL. 
-
#19000: http://www.nuswhispers.com/confession/19000",6,1
695707917166339_1020492911354503,"Sorry it is a long post.

It is that time of the year again. Where people frantically try to cram a semester's worth of knowledge in preparation for judgement day. Some are daunted by the rapidly approaching dateline, I too am no exception, but for an entirely different reason. 
We have five more days till the study break. Only five more days to walk from lecture to lecture together. 

Only five more meals together. Five more days to spend in your company before you leave for your internship or SEP. 

Thank you for being my companion for the past few semesters. Thank you for spending time with me even though I am probably not the best friend I should have been. Thank you for seeing the good in me that even I myself couldnt find. But most importantly, thank you for being my friend. Without you, my university life probably wouldnt had been as interesting as it was. For all that and more, I thank you. 

To the people that took the time to read this post, do not be too focused on your finals. Treasure the last five days you have with your friends. Of course some may say you can keep in touch, it just isnt the same. Be grateful for the friends you made. Speaking from the perspective of an introvert and likely socially awkward person, I am grateful for all the friends I have made in my university life. I have never been good at making and keeping friends. So if it isnt too much I have one last request. Won't you keep in touch?
-
#18983: http://www.nuswhispers.com/confession/18983",9,0
695707917166339_1020658081337986,"While everyone is thinking about the finals, here I am thinking about Captain America Civil War. Seriously, the movie gives me more anxiety and excitement than the exams :X
-
#18992: http://www.nuswhispers.com/confession/18992",8,0
695707917166339_1020797007990760,"Should I pursue a degree in business or arts and social sciences? Pros and cons of the respective degrees,please..
-
#19002: http://www.nuswhispers.com/confession/19002",0,1
695707917166339_1020493271354467,"I thought being on the giving end of unreciprocated love hurts the most. But being on the receiving end really hurts too.

There's this girl I've known for 3 years now. She's amazing: beautiful, kind and funny. I started getting more attracted to her in our final year of school and she did too, as we became closer.

I thought maybe she could be someone I could be better for, someone I could give a piece of myself to, someone I could fall for. But after a while, I realised it wouldn't be that way. I do not seem to have the capacity to love her the way she deserves or wants to be loved. I wish I do. I really do.

Of course, I have told her this and she wants to at least remain as friends, which I am very open to. But sometimes I feel that she's still trying and it saddens me to think of how exhausted she might be. I don't really know what to do. I feel guilty and trapped.
-
#18986: http://www.nuswhispers.com/confession/18986",9,2
695707917166339_1020571698013291,"Is anyone else panicking because this is the last week of school and finals are coming and deadlines are upon me and I don't know what's going on pls halp 
-
#18989: http://www.nuswhispers.com/confession/18989",5,1
695707917166339_1020715491332245,"Hello! To the person who lost her EZ-link card (Amanda Teng, S****925D), I found your EZ-link card on bus 183 at arnd 5pm and left it at Clementi MRT! :) 
-
#18997: http://www.nuswhispers.com/confession/18997",0,0
695707917166339_1020796917990769,"Decadence of the SUN - Chapter 2

* continued from #18876 *

""Why did you drag me out on a perfectly fine Saturday evening? Well, at least this is a hotel lounge,"" Joker said as he fell back in mock melodramatic fashion onto the well-cushioned couch. ""We are meeting the Soulfather,"" Killstealer replied. ""So who is this Soulfather we are..."" Joker asked. ""You will know later. Ah! Here he is!"" Killstealer interjected.

Joker turned around and saw this stocky person walked to his area. Dressed in batik, he won't look out of place in a gathering of south-east Asian businessmen. There seemed to be a mismatch between what one would expect a person called ""The Soulfather"" to look like and what he actually looks like, Joker thought.

The Soulfather sat down on the armchair and rested his arms on the upholstered armrests. He smiled, ""What do you all want to drink? Tea, shall we?"" Killstealer nodded, so did Joker. It seemed, to Joker at least, that the Soulfather has decided long ago and any semblance of choice was merely illusory.

Pleasantries were exchanged before tea was served. Joker watched as the Soulfather poured his tea into the tea cup and added a sugar cube, and a second one, and a third. He stirred clockwise five times before stirring the opposite direction exactly five times. Killstealer drank without any additives. Joker himself opted to add a dash of milk.

The trio sipped their tea in silence. Then, the Soulfather broke the silence, ""So, what is the matter today?"" ""It's about succession,"" Killstealer said. ""Soon, it will be the end of my term and elections will come again."" ""Do you have any candidates in mind?"" the Soulfather asked. ""Yes, my Soulfather. One candidate,"" Killstealer said as he sipped his tea.

""Bring him or her to meet me and the rest of the elders. This, however, does not seem to be your main concern,"" the Soulfather looked at Killstealer. ""It's about Kennedy. Kennedy is going to propose reforms to the electoral system. He wants a minimum voter turnout. They will have to be approved by the Federal Forum, of course."" Killstealer said.

""Is it going to affect the succession?"" the Soulfather asked. ""No, but naturally, the faction chiefs are not very happy as some of them were elected on a very low voter turnouts, especially the Mechanics Faction,"" Killstealer replied.

""Let the Federal Forum deal with him then. He will be taken down by them and you will have one less obstacle,"" the Soulfather said dismissively. ""No, it is not about that. It is that... I am afraid Kennedy will cause problems for our succession plans by insisting on following the rules,"" Killstealer said with a hint of worry.

""Let Kennedy change the rules all he wants. As long as you are head of the election committee, he cannot overrule you. I also suppose that Joker here will be on the committee too?"" the Soulfather asked. ""Yes, he will be,"" Killstealer replied.

""Tweaking an election is simple. You can have fair rules but the person executing it holds tremendous powers. Reject a nomination form due to technicalities and the candidate is a non-starter. Choose a voting venue that is inconvenient and you will restrict voter turnout to favourable voters. Control the publicity and no one will know that a election is going on in the first place. All these will make your favoured candidate win more easily. Kennedy will not be a problem, not when you both will constantly outvote him on the election committee,"" the Soulfather lectured. Killstealer nodded.

""Oh, I am also chairing the alumni group for past SUN members. Of course, it will be restricted to 'friendly' members. Those who were our enemies will never get the chance to be in this exclusive circle. With the alumni group in my hands, you being the current Federal Faction Chief and getting your favoured successor in place, we control the past, present and future. The Solar Empire's dynasty will be secure and no one will know the Sins of the Solar Empire, the decadence of our SUN!"" The Soulfather said before unleashing a sneer.

Killstealer nodded and said, ""Yes, yes. Indeed."" Joker remained impassive, unsure of what to make of these.

As the trio drank their tea, someone at the far end of the lounge walked to a corner and took out her phone. ""Hi, Kennedy? I just saw the Soulfather, Killstealer and Joker having tea together...""

* to be continued *

#DotSUN
-
#19003: http://www.nuswhispers.com/confession/19003",0,1
695707917166339_1020658724671255,"please don't filter! If my CA mark is exactly the same as the average mark across the entire cohort, will I get a B or B+? What differentiates one grade from the other? Thanks!
-
#18995: http://www.nuswhispers.com/confession/18995",1,1
695707917166339_1020141378056323,"How do you ""sell yourself"" during an interview? What are some of the good points that employers like to hear? I have self esteem issues and i feel uncomfortable having to tell someone how good i think i am (ie why they should hire me) when i have no confidence in myself in the first place.. I can hardly even think of any good points. I understand that in this competitive society, faking it till you make it (and still sound sincere) is really important, but i cant help but feel that i'm lying... 
-
#18975: http://www.nuswhispers.com/confession/18975",0,7
695707917166339_1020571861346608,"Why are some people so inconsiderate in the library? They are either talking aloud and laughing away with their friends or bringing fried food into the library.
-
#18991: http://www.nuswhispers.com/confession/18991",0,0
695707917166339_1020147578055703,"The main reason why I visit NUSWhispers is to click on ""x and y other friends like this"", then click on the photo of z to go to her Facebook profile. (x, z∈{Facebook friends}, y∈ℕ) 

A long time ago, I was all about doing well in school to please my teachers and parents, toeing the line in my CCA, being prim and proper, politically correct etc... In other words, a nerd who seems to have no emotions, even though I used to have soft toys, and talked to and treated them well as if they were real.

Growing up, I had some crushes, eye candies and such, but nothing really came of these trivial distractions in my life. It wasn't until my sophomore year that incidentally I got to know someone and accidentally had a crush on her. Accidentally because I wasn't intentionally seeking out a girlfriend, and wasn't emotionally ready for anything of that sort. As you can guess, I am still evergreen.

Fast forward many years to now, I just want to thank her for making the colours of my world more vivid. The grass is still green, and the sky is still blue. It has always been. It's just that the person who looks at it is different.

In my more lucid moments, I could see that she and I were so different in terms of life goals, directions, motivation and drive, and now we're even further apart. Still, it doesn't stop me from thinking about her.

Selfishly I hope she finds her happiness soon (only if she intends to be attached or married). Selflessly I wish her happiness.
-
#18979: http://www.nuswhispers.com/confession/18979",5,2
695707917166339_1020715604665567,"Given how the topic of plagiarism was in the news over the weekend, I wonder how many students know what plagiarism means. I read one confession where a student said that copying your seniors work is not plagiarism.
-
#18999: http://www.nuswhispers.com/confession/18999",0,2
695707917166339_1020658644671263,"Is it reasonable if your gf/bf didn't buy anything for you when he/she goes overseas vacation? 
-
#18994: http://www.nuswhispers.com/confession/18994",0,1
695707917166339_1020493294687798,"Sometimes, I wonder why the society favours people with tremendous level of egotism and elitism, offering them scholarships and recognitions, when they are too self-absorbed to even offer sincere apologies to a mistake they made. Is this a self-fulfilling prophecy to these people absent of humility? I pity my society. 
-
#18987: http://www.nuswhispers.com/confession/18987",11,1
